診療科,テーマ,区分,医薬品名,読み,用量候補,全量候補,用法候補,使用部位候補,タイミング候補,日数/回分候補
糖尿病内科,生活習慣病,内服,メトホルミン塩酸塩錠500mg,メトホルミンエンサンエンジョウ500mg,2錠,,分2 朝夕食後,,,28 / 30 / 56
糖尿病内科,生活習慣病,内服,ジャディアンス錠10mg,ジャディアンスジョウ10mg,1錠,,分1 朝食後,,,28 / 30 / 56
糖尿病内科,生活習慣病,内服,ジャディアンス錠25mg,ジャディアンスジョウ25mg,1錠,,分1 朝食後,,,28 / 30
糖尿病内科,生活習慣病,内服,フォシーガ錠5mg,フォシーガジョウ5mg,1錠,,分1 朝食後,,,28 / 30 / 56
糖尿病内科,生活習慣病,内服,グリメピリド錠1mg,グリメピリドジョウ1mg,1錠,,分1 朝食後,,,28 / 30
糖尿病内科,生活習慣病,内服,ピオグリタゾン錠15mg,ピオグリタゾンジョウ15mg,1錠,,分1 朝食後,,,28 / 30
糖尿病内科,生活習慣病,内服,シタグリプチン錠50mg,シタグリプチンジョウ50mg,1錠,,分1 朝食後,,,28 / 30
糖尿病内科,生活習慣病,内服,テネリグリプチン錠20mg,テネリグリプチンジョウ20mg,1錠,,分1 朝食後,,,28 / 30
糖尿病内科,生活習慣病,内服,リナグリプチン錠5mg,リナグリプチンジョウ5mg,1錠,,分1 朝食後,,,28 / 30
糖尿病内科,生活習慣病,内服,ミチグリニドCa・OD錠10mg,ミチグリニドCaODジョウ10mg,3錠,,分3 毎食直前,,,28 / 30
糖尿病内科,生活習慣病,内服,ボグリボースOD錠0.2mg,ボグリボースODジョウ0.2mg,3錠,,分3 毎食直前,,,28 / 30
糖尿病内科,生活習慣病,内服,アカルボース錠100mg,アカルボースジョウ100mg,3錠,,分3 毎食直前,,,28 / 30
糖尿病内科,生活習慣病,内服,リベルサス錠3mg,リベルサスジョウ3mg,1錠,,分1 起床時,,,14 / 28 / 30
糖尿病内科,生活習慣病,内服,リベルサス錠7mg,リベルサスジョウ7mg,1錠,,分1 起床時,,,14 / 28 / 30
消化器内科,胃腸症状,内服,ランソプラゾールOD錠15mg,ランソプラゾールODジョウ15mg,1錠,,分1 朝食前,,,14 / 28
消化器内科,胃腸症状,内服,エソメプラゾールカプセル20mg,エソメプラゾールカプセル20mg,1カプセル,,分1 朝食後 / 分1 朝食前,,,14 / 28
消化器内科,胃腸症状,内服,ボノプラザン錠10mg,ボノプラザンジョウ10mg,1錠,,分1 朝食後,,,14 / 28
消化器内科,胃腸症状,内服,ファモチジンOD錠20mg,ファモチジンODジョウ20mg,1錠 / 2錠,,分1 夕食後 / 分2 朝夕食後,,,7 / 14 / 28
消化器内科,胃腸症状,内服,レバミピド錠100mg,レバミピドジョウ100mg,3錠,,分3 毎食後,,,5 / 7 / 14 / 28
消化器内科,胃腸症状,内服,モサプリドクエン酸塩錠5mg,モサプリドクエンサンエンジョウ5mg,3錠,,分3 毎食前,,,7 / 14
消化器内科,胃腸症状,内服,ドンペリドン錠10mg,ドンペリドンジョウ10mg,3錠,,分3 毎食前,,,5 / 7
消化器内科,胃腸症状,内服,メトクロプラミド錠5mg,メトクロプラミドジョウ5mg,3錠,,分3 毎食前,,,5 / 7
消化器内科,胃腸症状,内服,ビオフェルミン錠剤,ビオフェルミンジョウザイ,3錠 / 6錠,,分3 毎食後,,,7 / 14
消化器内科,胃腸症状,内服,ミヤBM錠,ミヤBMジョウ,3錠 / 6錠,,分3 毎食後,,,7 / 14 / 28
消化器内科,胃腸症状,内服,酪酸菌錠,ラクサンキンジョウ,3錠 / 6錠,,分3 毎食後,,,7 / 14
消化器内科,胃腸症状,内服,酸化マグネシウム錠330mg,サンカマグネシウムジョウ330mg,3錠 / 6錠,,分3 毎食後,,,14 / 28
消化器内科,胃腸症状,内服,センノシド錠12mg,センノシドジョウ12mg,1錠 / 2錠,,分1 就寝前,,,7 / 14 / 28
消化器内科,胃腸症状,内服,ウルソデオキシコール酸錠100mg,ウルソデオキシコールサンジョウ100mg,3錠,,分3 毎食後,,,14 / 28 / 30
消化器内科,胃腸症状,内服,六君子湯エキス顆粒,ロックンシトウエキスカリュウ,7.5g,,分3 毎食前,,,7 / 14 / 28
呼吸器内科,咳・痰・喘息,内服,モンテルカスト錠10mg,モンテルカストジョウ10mg,1錠,,分1 就寝前,,,14 / 28 / 30
呼吸器内科,咳・痰・喘息,内服,テオフィリン徐放錠200mg,テオフィリンジョホウジョウ200mg,2錠,,分2 朝夕食後,,,14 / 28
呼吸器内科,咳・痰・喘息,内服,アンブロキソール塩酸塩錠15mg,アンブロキソールエンサンエンジョウ15mg,3錠,,分3 毎食後,,,5 / 7 / 14
呼吸器内科,咳・痰・喘息,内服,カルボシステイン錠500mg,カルボシステインジョウ500mg,3錠,,分3 毎食後,,,5 / 7 / 14
呼吸器内科,咳・痰・喘息,内服,デキストロメトルファン臭化水素酸塩錠15mg,デキストロメトルファンシュウカスイソサンエンジョウ15mg,3錠,,分3 毎食後,,,5 / 7
呼吸器内科,咳・痰・喘息,内服,チペピジンヒベンズ酸塩錠20mg,チペピジンヒベンズサンエンジョウ20mg,3錠,,分3 毎食後,,,5 / 7
呼吸器内科,咳・痰・喘息,内服,フスコデ配合錠,フスコデハイゴウジョウ,3錠 / 6錠,,分3 毎食後,,,5 / 7
呼吸器内科,咳・痰・喘息,内服,ムコソルバンL錠45mg,ムコソルバンLジョウ45mg,1錠,,分1 朝食後,,,7 / 14
呼吸器内科,咳・痰・喘息,内服,プレドニゾロン錠5mg,プレドニゾロンジョウ5mg,1錠 / 2錠,,分1 朝食後,,,3 / 5 / 7
呼吸器内科,咳・痰・喘息,頓服,デキストロメトルファン臭化水素酸塩錠15mg,デキストロメトルファンシュウカスイソサンエンジョウ15mg,1錠,,,,咳がひどい時,5 / 10
耳鼻咽喉科,アレルギー・感冒症状,内服,フェキソフェナジン塩酸塩錠60mg,フェキソフェナジンエンサンエンジョウ60mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,レボセチリジン塩酸塩錠5mg,レボセチリジンエンサンエンジョウ5mg,1錠,,分1 就寝前,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,ビラスチン錠20mg,ビラスチンジョウ20mg,1錠,,分1 空腹時,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,デスロラタジン錠5mg,デスロラタジンジョウ5mg,1錠,,分1 朝食後,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,エピナスチン塩酸塩錠20mg,エピナスチンエンサンエンジョウ20mg,1錠,,分1 就寝前,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,オロパタジン塩酸塩錠5mg,オロパタジンエンサンエンジョウ5mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,ベポタスチンベシル酸塩錠10mg,ベポタスチンベシルサンエンジョウ10mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
耳鼻咽喉科,アレルギー・感冒症状,内服,トラネキサム酸錠250mg,トラネキサムサンジョウ250mg,3錠 / 6錠,,分3 毎食後,,,5 / 7
耳鼻咽喉科,アレルギー・感冒症状,内服,クラリスロマイシン錠200mg,クラリスロマイシンジョウ200mg,2錠,,分2 朝夕食後,,,5 / 7
耳鼻咽喉科,アレルギー・感冒症状,内服,セフカペンピボキシル塩酸塩錠100mg,セフカペンピボキシルエンサンエンジョウ100mg,3錠,,分3 毎食後,,,5 / 7
耳鼻咽喉科,アレルギー・感冒症状,外用,モメタゾン点鼻液50μg,モメタゾンテンビエキ50マイクログラム,,1本,1日1回,両鼻,,
耳鼻咽喉科,アレルギー・感冒症状,外用,アラミスト点鼻液27.5μg,アラミストテンビエキ27.5マイクログラム,,1本,1日1回,両鼻,,
耳鼻咽喉科,アレルギー・感冒症状,頓服,アセトアミノフェン錠200mg,アセトアミノフェンジョウ200mg,2錠,,,,発熱時,5 / 10
整形外科,疼痛管理,内服,ロキソプロフェンNa錠60mg,ロキソプロフェンNaジョウ60mg,3錠,,分3 毎食後,,,5 / 7 / 14
整形外科,疼痛管理,内服,セレコキシブ錠100mg,セレコキシブジョウ100mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
整形外科,疼痛管理,内服,アセトアミノフェン錠500mg,アセトアミノフェンジョウ500mg,3錠,,分3 毎食後,,,5 / 7 / 14
整形外科,疼痛管理,内服,トラマドール塩酸塩OD錠25mg,トラマドールエンサンエンODジョウ25mg,2錠 / 4錠,,分2 朝夕食後 / 分4 毎食後・就寝前,,,7 / 14
整形外科,疼痛管理,内服,プレガバリンOD錠25mg,プレガバリンODジョウ25mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
整形外科,疼痛管理,内服,プレガバリンOD錠75mg,プレガバリンODジョウ75mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
整形外科,疼痛管理,内服,ミロガバリンベシル酸塩錠5mg,ミロガバリンベシルサンエンジョウ5mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
整形外科,疼痛管理,内服,エペリゾン塩酸塩錠50mg,エペリゾンエンサンエンジョウ50mg,3錠,,分3 毎食後,,,7 / 14
整形外科,疼痛管理,内服,チザニジン錠1mg,チザニジンジョウ1mg,3錠,,分3 毎食後,,,7 / 14
整形外科,疼痛管理,内服,メコバラミン錠500μg,メコバラミンジョウ500マイクログラム,3錠,,分3 毎食後,,,14 / 28
整形外科,疼痛管理,内服,アルファカルシドールカプセル0.25μg,アルファカルシドールカプセル0.25マイクログラム,1カプセル,,分1 朝食後,,,28 / 30
整形外科,疼痛管理,内服,エルデカルシトールカプセル0.75μg,エルデカルシトールカプセル0.75マイクログラム,1カプセル,,分1 朝食後,,,28 / 30
整形外科,疼痛管理,内服,リセドロン酸Na錠2.5mg,リセドロンサンNaジョウ2.5mg,1錠,,分1 起床時,,,28 / 30
整形外科,疼痛管理,頓服,ロキソプロフェンNa錠60mg,ロキソプロフェンNaジョウ60mg,1錠,,,,疼痛時,5 / 10 / 15
整形外科,疼痛管理,頓服,アセトアミノフェン錠500mg,アセトアミノフェンジョウ500mg,1錠,,,,疼痛時 / 発熱時,5 / 10
整形外科,疼痛管理,外用,ケトプロフェンテープ40mg,ケトプロフェンテープ40mg,,21枚 / 35枚,1日1回,患部 / 腰部 / 右膝 / 左膝,,
整形外科,疼痛管理,外用,ロキソプロフェンNaテープ100mg,ロキソプロフェンNaテープ100mg,,14枚 / 28枚,1日1回,患部 / 腰部 / 右肩 / 左肩,,
整形外科,疼痛管理,外用,ジクロフェナクNaテープ15mg,ジクロフェナクNaテープ15mg,,14枚 / 28枚,1日1回,患部 / 右膝 / 左膝,,
整形外科,疼痛管理,外用,フルルビプロフェンテープ40mg,フルルビプロフェンテープ40mg,,14枚 / 28枚,1日2回,患部 / 腰部,,
整形外科,疼痛管理,外用,ロキソニンパップ100mg,ロキソニンパップ100mg,,14枚 / 28枚,1日1回,患部 / 腰部,,
皮膚科,外用薬,外用,ヒルドイドソフト軟膏0.3%,ヒルドイドソフトナンコウ0.3%,,25g / 50g,1日2回,患部,,
皮膚科,外用薬,外用,ヘパリン類似物質ローション0.3%,ヘパリンルイジブッシツローション0.3%,,50g / 100g,1日2回,患部,,
皮膚科,外用薬,外用,ヘパリン類似物質クリーム0.3%,ヘパリンルイジブッシツクリーム0.3%,,25g / 50g,1日2回,患部,,
皮膚科,外用薬,外用,ロコイド軟膏0.1%,ロコイドナンコウ0.1%,,5g / 10g,1日2回,患部 / 顔,,
皮膚科,外用薬,外用,リンデロンVG軟膏0.12%,リンデロンVGナンコウ0.12%,,5g / 10g,1日2回,患部,,
皮膚科,外用薬,外用,アンテベート軟膏0.05%,アンテベートナンコウ0.05%,,5g / 10g,1日2回,患部,,
皮膚科,外用薬,外用,マイザー軟膏0.05%,マイザーナンコウ0.05%,,5g / 10g,1日2回,患部,,
皮膚科,外用薬,外用,デルモベート軟膏0.05%,デルモベートナンコウ0.05%,,5g / 10g,1日2回,患部,,
皮膚科,外用薬,外用,ゲンタシン軟膏0.1%,ゲンタシンナンコウ0.1%,,5g / 10g,1日2回,患部,,
皮膚科,外用薬,外用,アクアチムクリーム1%,アクアチムクリーム1%,,10g,1日2回,患部,,
皮膚科,外用薬,外用,ゼビアックスローション2%,ゼビアックスローション2%,,10g,1日1回,患部,,
皮膚科,外用薬,外用,ニゾラールクリーム2%,ニゾラールクリーム2%,,10g,1日1回,患部,,
皮膚科,外用薬,外用,ルリコンクリーム1%,ルリコンクリーム1%,,10g,1日1回,患部,,
皮膚科,外用薬,外用,アスタットクリーム1%,アスタットクリーム1%,,10g,1日1回,患部,,
皮膚科,外用薬,外用,プロペト,プロペト,,50g / 100g,1日2回,患部,,
皮膚科,外用薬,外用,白色ワセリン,ハクショクワセリン,,50g / 100g,1日2回,患部,,
皮膚科,外用薬,内服,オロパタジン塩酸塩錠5mg,オロパタジンエンサンエンジョウ5mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
皮膚科,外用薬,内服,ベポタスチンベシル酸塩錠10mg,ベポタスチンベシルサンエンジョウ10mg,2錠,,分2 朝夕食後,,,7 / 14 / 28
眼科,点眼薬,外用,ヒアレイン点眼液0.1%,ヒアレインテンガンエキ0.1%,,1本 / 2本,1日4回,両眼 / 右眼 / 左眼,,
眼科,点眼薬,外用,ジクアスLX点眼液3%,ジクアスLXテンガンエキ3%,,1本 / 2本,1日3回,両眼,,
眼科,点眼薬,外用,ムコスタ点眼液UD2%,ムコスタテンガンエキUD2%,,30本 / 60本,1日4回,両眼,,
眼科,点眼薬,外用,クラビット点眼液1.5%,クラビットテンガンエキ1.5%,,1本,1日3回,右眼 / 左眼 / 両眼,,
眼科,点眼薬,外用,フルメトロン点眼液0.1%,フルメトロンテンガンエキ0.1%,,1本,1日4回,右眼 / 左眼 / 両眼,,
眼科,点眼薬,外用,リンデロン点眼液0.1%,リンデロンテンガンエキ0.1%,,1本,1日4回,右眼 / 左眼 / 両眼,,
眼科,点眼薬,外用,アレジオンLX点眼液0.1%,アレジオンLXテンガンエキ0.1%,,1本,1日2回,両眼,,
眼科,点眼薬,外用,パタノール点眼液0.1%,パタノールテンガンエキ0.1%,,1本,1日4回,両眼,,
眼科,点眼薬,外用,コソプト配合点眼液,コソプトハイゴウテンガンエキ,,1本,1日2回,両眼 / 右眼 / 左眼,,
眼科,点眼薬,外用,キサラタン点眼液0.005%,キサラタンテンガンエキ0.005%,,1本,1日1回,両眼 / 右眼 / 左眼,,
眼科,点眼薬,外用,タプロス点眼液0.0015%,タプロステンガンエキ0.0015%,,1本,1日1回,両眼 / 右眼 / 左眼,,
眼科,点眼薬,外用,アイファガン点眼液0.1%,アイファガンテンガンエキ0.1%,,1本,1日2回,両眼 / 右眼 / 左眼,,
小児科,小児処方,内服,アスベリン散10%,アスベリンサン10%,0.6g / 0.9g,,分3 毎食後,,,5 / 7
小児科,小児処方,内服,ムコダインDS50%,ムコダインDS50%,1.2g / 1.5g,,分3 毎食後,,,5 / 7
小児科,小児処方,内服,ホクナリンドライシロップ0.1%,ホクナリンドライシロップ0.1%,0.5g,,分2 朝夕食後,,,5 / 7
小児科,小児処方,内服,クラリスドライシロップ10%小児用,クラリスドライシロップ10%ショウニヨウ,1.0g / 1.5g,,分2 朝夕食後,,,5 / 7
小児科,小児処方,内服,ワイドシリン細粒20%,ワイドシリンサイリュウ20%,1.5g / 2.0g,,分3 毎食後,,,5 / 7
小児科,小児処方,内服,セフゾン細粒小児用10%,セフゾンサイリュウショウニヨウ10%,1.5g / 2.0g,,分3 毎食後,,,5 / 7
小児科,小児処方,内服,オノンドライシロップ10%,オノンドライシロップ10%,0.7g / 1.0g,,分2 朝夕食後,,,7 / 14
小児科,小児処方,内服,ザイザルシロップ0.05%,ザイザルシロップ0.05%,5mL / 10mL,,分1 就寝前,,,7 / 14
小児科,小児処方,内服,ビオフェルミンR散,ビオフェルミンRサン,1.5g / 3.0g,,分3 毎食後,,,5 / 7
小児科,小児処方,内服,ミヤBM細粒,ミヤBMサイリュウ,1.5g / 3.0g,,分3 毎食後,,,5 / 7
小児科,小児処方,外用,ツロブテロールテープ0.5mg,ツロブテロールテープ0.5mg,,7枚,1日1回,胸部 / 背部,,
小児科,小児処方,外用,ツロブテロールテープ1mg,ツロブテロールテープ1mg,,7枚,1日1回,胸部 / 背部,,
小児科,小児処方,頓服,カロナール細粒20%,カロナールサイリュウ20%,1.0g,,,,発熱時,5 / 8
小児科,小児処方,頓服,アンヒバ坐剤小児用100mg,アンヒバザザイショウニヨウ100mg,1個,,,,発熱時,5 / 8
小児科,小児処方,頓服,ナウゼリン坐剤10mg,ナウゼリンザザイ10mg,1個,,,,吐き気時,5
泌尿器科,排尿トラブル,内服,タムスロシン塩酸塩OD錠0.2mg,タムスロシンエンサンエンODジョウ0.2mg,1錠,,分1 朝食後,,,14 / 28 / 30
泌尿器科,排尿トラブル,内服,シロドシンOD錠4mg,シロドシンODジョウ4mg,2錠,,分2 朝夕食後,,,14 / 28 / 30
泌尿器科,排尿トラブル,内服,ベタニス錠50mg,ベタニスジョウ50mg,1錠,,分1 朝食後,,,14 / 28 / 30
泌尿器科,排尿トラブル,内服,ベオーバ錠50mg,ベオーバジョウ50mg,1錠,,分1 朝食後,,,14 / 28 / 30
泌尿器科,排尿トラブル,内服,イミダフェナシンOD錠0.1mg,イミダフェナシンODジョウ0.1mg,2錠,,分2 朝夕食後,,,14 / 28 / 30
泌尿器科,排尿トラブル,内服,セルニルトン錠,セルニルトンジョウ,6錠,,分3 毎食後,,,14 / 28 / 30
泌尿器科,排尿トラブル,内服,ウラリット配合錠,ウラリットハイゴウジョウ,6錠,,分3 毎食後,,,14 / 28 / 30
心療内科,睡眠・不安,内服,レンボレキサント錠5mg,レンボレキサントジョウ5mg,1錠,,分1 就寝前,,,7 / 14 / 28
心療内科,睡眠・不安,内服,ラメルテオン錠8mg,ラメルテオンジョウ8mg,1錠,,分1 就寝前,,,7 / 14 / 28
心療内科,睡眠・不安,内服,トラゾドン塩酸塩錠25mg,トラゾドンエンサンエンジョウ25mg,1錠 / 2錠,,分1 就寝前,,,7 / 14 / 28
心療内科,睡眠・不安,頓服,ゾルピデム酒石酸塩錠5mg,ゾルピデムシュセキサンエンジョウ5mg,1錠,,,,不眠時,5 / 10
心療内科,睡眠・不安,頓服,エチゾラム錠0.5mg,エチゾラムジョウ0.5mg,1錠,,,,不安時,5 / 10
心療内科,睡眠・不安,内服,抑肝散エキス顆粒,ヨクカンサンエキスカリュウ,7.5g,,分3 毎食前,,,7 / 14 / 28
漢方外来,漢方処方,内服,葛根湯エキス顆粒,カッコントウエキスカリュウ,7.5g,,分3 毎食前,,,5 / 7 / 14
漢方外来,漢方処方,内服,小青竜湯エキス顆粒,ショウセイリュウトウエキスカリュウ,9.0g,,分3 毎食前,,,5 / 7 / 14
漢方外来,漢方処方,内服,麦門冬湯エキス顆粒,バクモンドウトウエキスカリュウ,9.0g,,分3 毎食前,,,5 / 7 / 14
漢方外来,漢方処方,内服,大建中湯エキス顆粒,ダイケンチュウトウエキスカリュウ,15.0g,,分3 毎食前,,,7 / 14 / 28
漢方外来,漢方処方,内服,補中益気湯エキス顆粒,ホチュウエッキトウエキスカリュウ,7.5g,,分3 毎食前,,,7 / 14 / 28
漢方外来,漢方処方,頓服,芍薬甘草湯エキス顆粒,シャクヤクカンゾウトウエキスカリュウ,2.5g,,,,こむら返り時,5 / 10
漢方外来,漢方処方,内服,当帰芍薬散エキス顆粒,トウキシャクヤクサンエキスカリュウ,7.5g,,分3 毎食前,,,14 / 28
漢方外来,漢方処方,内服,加味逍遙散エキス顆粒,カミショウヨウサンエキスカリュウ,7.5g,,分3 毎食前,,,14 / 28
